Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
King University,TN,"Private, nonprofit",58770,
Monmouth University,NJ,"Private, nonprofit",58759,
Utah State University,UT,Public,58672,
Iona University,NY,"Private, nonprofit",58650,
Thomas More University,KY,"Private, nonprofit",58479,
Muhlenberg College,PA,"Private, nonprofit",58473,
The University of Texas at El Paso,TX,Public,58451,
California State University-Chico,CA,Public,58391,
Eastern University,PA,"Private, nonprofit",58371,
College of Charleston,SC,Public,58371,
University of Maine,ME,Public,58306,
St. John Fisher University,NY,"Private, nonprofit",58279,
Loyola University Chicago,IL,"Private, nonprofit",58256,
Hanover College,IN,"Private, nonprofit",58227,
University of South Carolina Aiken,SC,Public,58203,
Texas Tech University,TX,Public,58196,
Vassar College,NY,"Private, nonprofit",58163,
California State University-Long Beach,CA,Public,58137,
California State University-Fullerton,CA,Public,58082,
Stetson University,FL,"Private, nonprofit",58071,
University of Wisconsin-Eau Claire,WI,Public,58043,
Nebraska Wesleyan University,NE,"Private, nonprofit",57937,
Eastern Illinois University,IL,Public,57887,
Fairleigh Dickinson University-Metropolitan Campus,NJ,"Private, nonprofit",57829,
Fairleigh Dickinson University-Florham Campus,NJ,"Private, nonprofit",57829,
Saint Louis University,MO,"Private, nonprofit",57787,
Cabrini University,PA,"Private, nonprofit",57739,
California State University-East Bay,CA,Public,57708,
Mount St. Mary's University,MD,"Private, nonprofit",57669,
Seattle University,WA,"Private, nonprofit",57599,
University of Phoenix-Arizona,,"Private, for-profit",57523,
University of Phoenix-California,,"Private, for-profit",57523,
The Master's University and Seminary,CA,"Private, nonprofit",57507,
California State University-Dominguez Hills,CA,Public,57478,
University of Oklahoma-Norman Campus,OK,Public,57453,
SUNY Oneonta,NY,Public,57447,
The University of Tennessee-Knoxville,TN,Public,57394,
Florida International University,FL,Public,57376,
Wayne State University,MI,Public,57335,
Pacific Lutheran University,WA,"Private, nonprofit",57317,
Caldwell University,NJ,"Private, nonprofit",57307,
Christopher Newport University,VA,Public,57254,
California State University-Northridge,CA,Public,57138,
St. Thomas Aquinas College,NY,"Private, nonprofit",57112,
Iowa State University,IA,Public,57110,
CUNY Brooklyn College,NY,Public,57024,
University of Arkansas,AR,Public,56969,
Bridgewater State University,MA,Public,56968,
University of Nevada-Las Vegas,NV,Public,56944,
University of Houston-Downtown,TX,Public,56903,
Ramapo College of New Jersey,NJ,Public,56894,
Central Washington University,WA,Public,56862,
University of Illinois Chicago,IL,Public,56845,
University of Cincinnati-Main Campus,OH,Public,56818,
Mount Mary University,WI,"Private, nonprofit",56763,
Wittenberg University,OH,"Private, nonprofit",56711,
Southern Connecticut State University,CT,Public,56694,
San Diego Christian College,CA,"Private, nonprofit",56685,
Auburn University,AL,Public,56636,
University of Northern Colorado,CO,Public,56520,
Brigham Young University-Idaho,ID,"Private, nonprofit",56514,
University of Wisconsin-La Crosse,WI,Public,56470,
Florida Gulf Coast University,FL,Public,56455,
Western Washington University,WA,Public,56415,
Concordia University-Irvine,CA,"Private, nonprofit",56388,
Saint Cloud State University,MN,Public,56388,
Westfield State University,MA,Public,56349,
Whitworth University,WA,"Private, nonprofit",56304,
California State Polytechnic University-Pomona,CA,Public,56278,
Indiana University-East,IN,Public,56141,
Minnesota State University-Mankato,MN,Public,56119,
University of North Dakota,ND,Public,56065,
Salisbury University,MD,Public,56048,
DePaul University,IL,"Private, nonprofit",56014,
Eastern Oregon University,OR,Public,56013,
Miami University-Hamilton,OH,Public,55919,
Miami University-Middletown,OH,Public,55919,
Miami University-Oxford,OH,Public,55919,
Molloy University,NY,"Private, nonprofit",55878,
University of Wisconsin-Milwaukee,WI,Public,55697,
Oakland University,MI,Public,55662,
Carthage College,WI,"Private, nonprofit",55654,
University of Kentucky,KY,Public,55653,
University of Louisville,KY,Public,55636,
The University of Tampa,FL,"Private, nonprofit",55512,
Pennsylvania State University-Penn State Erie-Behrend College,PA,Public,55505,
Pennsylvania State University-Penn State New Kensington,PA,Public,55505,
Pennsylvania State University-Penn State Wilkes-Barre,PA,Public,55505,
Pennsylvania State University-Penn State Altoona,PA,Public,55505,
Pennsylvania State University-Penn State Beaver,PA,Public,55505,
Pennsylvania State University-Penn State Berks,PA,Public,55505,
Pennsylvania State University-Penn State Harrisburg,PA,Public,55505,
Pennsylvania State University-Penn State Brandywine,PA,Public,55505,
Pennsylvania State University-Penn State Fayette- Eberly,PA,Public,55505,
Pennsylvania State University-Main Campus,PA,Public,55505,
Pennsylvania State University-Penn State Greater Allegheny,PA,Public,55505,
Pennsylvania State University-Penn State York,PA,Public,55505,
Pennsylvania State University-World Campus,PA,Public,55505,
Central Michigan University,MI,Public,55353,
South Dakota State University,SD,Public,55345,
Appalachian State University,NC,Public,55307,
Rowan University,NJ,Public,55277,
Louisiana State University and Agricultural & Mechanical College,LA,Public,55245,
CUNY Hunter College,NY,Public,55182,
Hope College,MI,"Private, nonprofit",55166,
University of Wisconsin-Whitewater,WI,Public,55152,
Northern Illinois University,IL,Public,55109,
Missouri Western State University,MO,Public,55059,
St Catherine University,MN,"Private, nonprofit",55058,
Crown College,MN,"Private, nonprofit",54958,
Lindenwood University,MO,"Private, nonprofit",54917,
Liberty University,VA,"Private, nonprofit",54911,
Plymouth State University,NH,Public,54740,
Colorado Mesa University,CO,Public,54717,
Florida Atlantic University,FL,Public,54717,
Juniata College,PA,"Private, nonprofit",54716,
Ohio University-Eastern Campus,OH,Public,54695,
Ohio University-Chillicothe Campus,OH,Public,54695,
Ohio University-Southern Campus,OH,Public,54695,
Ohio University-Lancaster Campus,OH,Public,54695,
Ohio University-Main Campus,OH,Public,54695,
Ohio University-Zanesville Campus,OH,Public,54695,
Grand Canyon University,AZ,"Private, for-profit",54622,
Saint Edward's University,TX,"Private, nonprofit",54558,
Canisius University,NY,"Private, nonprofit",54529,
University of Wyoming,WY,Public,54433,
Allegheny College,PA,"Private, nonprofit",54366,
University of North Florida,FL,Public,54360,
University of North Carolina Wilmington,NC,Public,54315,
Albion College,MI,"Private, nonprofit",54300,
The University of Montana,MT,Public,54300,
Temple University,PA,Public,54283,
Kean University,NJ,Public,54277,
Edgewood University,WI,"Private, nonprofit",54257,
Central Connecticut State University,CT,Public,54195,
