Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Westfield State University,MA,Public,51322,
Eastern Connecticut State University,CT,Public,51257,
University of North Carolina at Chapel Hill,NC,Public,51208,
University at Albany,NY,Public,51206,
Albright College,PA,"Private, nonprofit",51149,
Fitchburg State University,MA,Public,51141,
Illinois Wesleyan University,IL,"Private, nonprofit",51107,
University of Wisconsin-River Falls,WI,Public,51089,
Skidmore College,NY,"Private, nonprofit",51029,
Bridgewater State University,MA,Public,51020,
St. Mary's University,TX,"Private, nonprofit",51014,
Texas Tech University,TX,Public,50849,
University of Maine,ME,Public,50825,
University of Redlands,CA,"Private, nonprofit",50810,
Saint Louis University,MO,"Private, nonprofit",50769,
Washington State University,WA,Public,50745,
Southern Connecticut State University,CT,Public,50725,
University of California-Riverside,CA,Public,50712,
Utah State University,UT,Public,50708,
University of Puget Sound,WA,"Private, nonprofit",50690,
California State University-Sacramento,CA,Public,50680,
Washington & Jefferson College,PA,"Private, nonprofit",50646,
Kennesaw State University,,Public,50587,
Clemson University,SC,Public,50582,
The University of Texas at Arlington,TX,Public,50495,
Kansas State University,KS,Public,50448,
Harvard University,MA,"Private, nonprofit",50428,
Governors State University,IL,Public,50426,
Saint Vincent College,PA,"Private, nonprofit",50411,
Moravian University,PA,"Private, nonprofit",50397,
South Dakota State University,SD,Public,50335,
Kutztown University of Pennsylvania,PA,Public,50300,
Pennsylvania State University-Penn State Erie-Behrend College,PA,Public,50299,
Pennsylvania State University-Penn State Wilkes-Barre,PA,Public,50299,
Pennsylvania State University-Penn State Scranton,PA,Public,50299,
Pennsylvania State University-Penn State Altoona,PA,Public,50299,
Pennsylvania State University-Penn State Harrisburg,PA,Public,50299,
Pennsylvania State University-Penn State Brandywine,PA,Public,50299,
Pennsylvania State University-Main Campus,PA,Public,50299,
Pennsylvania State University-Penn State Abington,PA,Public,50299,
Pennsylvania State University-Penn State York,PA,Public,50299,
Pennsylvania State University-World Campus,PA,Public,50299,
Lesley University,MA,"Private, nonprofit",50260,
Arizona State University Campus Immersion,AZ,Public,50205,
