Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Central Michigan University,MI,Public,48389,
Saint Norbert College,WI,"Private, nonprofit",48357,
Middle Tennessee State University,TN,Public,48276,
Randolph-Macon College,VA,"Private, nonprofit",48275,
Montana State University,MT,Public,48273,
Oklahoma State University-Main Campus,OK,Public,48175,
University of Northern Colorado,CO,Public,48154,
University of Kansas,KS,Public,48146,
California State Polytechnic University-Humboldt,CA,Public,48143,
Cheyney University of Pennsylvania,PA,Public,47889,
Keene State College,NH,Public,47885,
Oakland University,MI,Public,47873,
Tennessee State University,TN,Public,47853,
Indiana University of Pennsylvania,PA,Public,47851,
Shippensburg University of Pennsylvania,PA,Public,47841,
University of Nebraska at Omaha,NE,Public,47763,
Worcester State University,MA,Public,47754,
University of Dayton,OH,"Private, nonprofit",47745,
SUNY Brockport,NY,Public,47738,
Temple University,PA,Public,47631,
McNeese State University,LA,Public,47592,
Mercy University,NY,"Private, nonprofit",47552,
Florida International University,FL,Public,47538,
Westminster College,PA,"Private, nonprofit",47502,
University of West Georgia,GA,Public,47412,
University of South Florida,FL,Public,47379,
Nicholls State University,LA,Public,47361,
Stockton University,NJ,Public,47201,
Appalachian State University,NC,Public,47180,
Winthrop University,SC,Public,47178,
Coastal Carolina University,SC,Public,47056,
Biola University,CA,"Private, nonprofit",47052,
Seattle Pacific University,WA,"Private, nonprofit",46974,
Hamline University,MN,"Private, nonprofit",46877,
Lebanon Valley College,PA,"Private, nonprofit",46836,
The University of Texas at Dallas,TX,Public,46551,
University of Colorado Colorado Springs,CO,Public,46444,
Minnesota State University Moorhead,MN,Public,46439,
California State University-Stanislaus,CA,Public,46340,
University of Maryland Eastern Shore,MD,Public,46314,
Western Carolina University,NC,Public,46195,
Rowan University,NJ,Public,46130,
University of Houston-Downtown,TX,Public,46106,
Centenary University,NJ,"Private, nonprofit",46031,
University of Wisconsin-Parkside,WI,Public,46005,
Arkansas State University,AR,Public,45889,
The University of Texas at San Antonio,TX,Public,45866,
University of Central Missouri,MO,Public,45862,
University of Wisconsin-River Falls,WI,Public,45741,
University of Nebraska-Lincoln,NE,Public,45674,
Emporia State University,KS,Public,45661,
Indiana University-Southeast,IN,Public,45610,
University of Houston,TX,Public,45530,
East Texas A&M University,TX,Public,45301,
Longwood University,VA,Public,45204,
Texas A&M University-San Antonio,,Public,45191,
University of North Carolina at Pembroke,NC,Public,44935,
East Carolina University,NC,Public,44918,
University of North Carolina Asheville,NC,Public,44824,
Wittenberg University,OH,"Private, nonprofit",44809,
Boise State University,ID,Public,44676,
Texas A & M International University,TX,Public,44654,
Columbus State University,GA,Public,44506,
Fort Hays State University,KS,Public,44405,
Lander University,SC,Public,44287,
Lamar University,TX,Public,44286,
Wright State University-Main Campus,OH,Public,44227,
Lee University,TN,"Private, nonprofit",44193,
Louisiana Tech University,LA,Public,44192,
University of North Georgia,,Public,44176,
University of North Florida,FL,Public,44152,
New Jersey City University,NJ,Public,44151,
Massachusetts College of Liberal Arts,MA,Public,44136,
North Carolina A & T State University,NC,Public,44104,
Northern Arizona University,AZ,Public,44082,
Fayetteville State University,NC,Public,43889,
Southern University and A & M College,LA,Public,43844,
Southern University Law Center,LA,Public,43844,
University of South Carolina-Upstate,SC,Public,43745,
Savannah State University,GA,Public,43690,
Indiana University-Indianapolis,IN,Public,43678,
Drury University,MO,"Private, nonprofit",43676,
Drury University-College of Continuing Professional Studies,,"Private, nonprofit",43676,
Austin Peay State University,TN,Public,43612,
Shawnee State University,OH,Public,43602,
University of Memphis,TN,Public,43595,
Fort Lewis College,CO,Public,43544,
Western Kentucky University,KY,Public,43520,
Georgia Southwestern State University,GA,Public,43457,
University of North Carolina at Greensboro,NC,Public,43427,
Missouri State University-Springfield,MO,Public,43425,
University of Louisiana at Lafayette,LA,Public,43316,
University of Arkansas,AR,Public,43290,
Tennessee Technological University,TN,Public,42830,
Wiley University,TX,"Private, nonprofit",42714,
Colorado Mesa University,CO,Public,42701,
Bryn Mawr College,PA,"Private, nonprofit",42666,
Pennsylvania Western University,,Public,42662,
Wichita State University,KS,Public,42450,
University of Arkansas at Little Rock,AR,Public,42390,
Arkansas Tech University,AR,Public,42344,
Georgia Southern University,GA,Public,42305,
Sam Houston State University,TX,Public,42152,
Tougaloo College,MS,"Private, nonprofit",42121,
Eastern Michigan University,MI,Public,41831,
McMurry University,TX,"Private, nonprofit",41749,
Troy University,AL,Public,41433,
Missouri Southern State University,MO,Public,40957,
University of Central Arkansas,AR,Public,40873,
Virginia State University,VA,Public,40432,
Kent State University at Ashtabula,OH,Public,40217,
Kent State University at Stark,OH,Public,40217,
Kent State University at Kent,OH,Public,40217,
University of Alabama at Birmingham,AL,Public,40148,
University of Missouri-St Louis,MO,Public,39878,
University of Hawaii at Hilo,HI,Public,39582,
Claflin University,SC,"Private, nonprofit",39353,
Hiram College,OH,"Private, nonprofit",39277,
Castleton University,VT,Public,39174,
Vermont State University,VT,Public,39174,
Midwestern State University,TX,Public,39067,
Ball State University,IN,Public,38857,
Ithaca College,NY,"Private, nonprofit",38727,
Bowling Green State University-Main Campus,OH,Public,38346,
Winston-Salem State University,NC,Public,38245,
Augusta University,,Public,37769,
Francis Marion University,SC,Public,36995,
East Tennessee State University,TN,Public,36966,
University of Southern Mississippi,MS,Public,36907,
University of Wisconsin-Eau Claire,WI,Public,36421,
University of Puerto Rico-Rio Piedras,PR,Public,35481,
The University of Texas at El Paso,TX,Public,35325,
Brigham Young University-Idaho,ID,"Private, nonprofit",34726,
Lane College,TN,"Private, nonprofit",34242,
University of North Alabama,AL,Public,33810,
Idaho State University,ID,Public,32182,
University of Puerto Rico at Cayey,PR,Public,26901,
