Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
St. John Fisher University,NY,"Private, nonprofit",49491,
University of Colorado Boulder,CO,Public,49401,
University of North Carolina at Charlotte,NC,Public,49359,
California State University-Chico,CA,Public,49351,
University of Northern Iowa,IA,Public,49313,
Coastal Carolina University,SC,Public,49222,
Southern New Hampshire University,NH,"Private, nonprofit",49113,
University of Missouri-Kansas City,MO,Public,49096,
Oakland University,MI,Public,48990,
The College of Wooster,OH,"Private, nonprofit",48903,
University of Central Florida,FL,Public,48896,
DePaul University,IL,"Private, nonprofit",48857,
East Stroudsburg University of Pennsylvania,PA,Public,48779,
University of Wisconsin-Whitewater,WI,Public,48693,
Stephen F Austin State University,TX,Public,48680,
Hampden-Sydney College,VA,"Private, nonprofit",48625,
Slippery Rock University of Pennsylvania,PA,Public,48589,
University of Alabama at Birmingham,AL,Public,48565,
Metropolitan State University of Denver,CO,Public,48518,
Louisiana State University and Agricultural & Mechanical College,LA,Public,48454,
University of Wisconsin-Milwaukee,WI,Public,48442,
Jacksonville State University,AL,Public,48390,
SUNY at Fredonia,NY,Public,48388,
University of Oregon,OR,Public,48354,
Augusta University,,Public,48318,
California State University-Fullerton,CA,Public,48309,
University of Oklahoma-Norman Campus,OK,Public,48163,
Bridgewater College,VA,"Private, nonprofit",48113,
Northern Kentucky University,KY,Public,48109,
Wheaton College (Massachusetts),MA,"Private, nonprofit",48095,
University of Minnesota-Morris,MN,Public,48067,
North Carolina Central University,NC,Public,48047,
Longwood University,VA,Public,47957,
University of Nebraska-Lincoln,NE,Public,47944,
University of South Florida,FL,Public,47936,
University of Wisconsin-River Falls,WI,Public,47891,
The University of Texas at Tyler,TX,Public,47813,
University of Massachusetts-Dartmouth,MA,Public,47771,
Saint Michael's College,VT,"Private, nonprofit",47689,
Northeastern State University,OK,Public,47608,
Valdosta State University,GA,Public,47595,
University of Nebraska at Kearney,NE,Public,47590,
University of Memphis,TN,Public,47449,
College of Charleston,SC,Public,47424,
Dalton State College,GA,Public,47243,
Michigan State University,MI,Public,47224,
Grand Valley State University,MI,Public,47218,
New Jersey City University,NJ,Public,47200,
Angelo State University,TX,Public,47161,
Tennessee Technological University,TN,Public,47111,
Western Illinois University,IL,Public,47084,
University of Hawaii at Manoa,HI,Public,47083,
University of Akron Main Campus,OH,Public,46973,
Florida Atlantic University,FL,Public,46960,
Smith College,MA,"Private, nonprofit",46960,
Western Michigan University,MI,Public,46909,
University of Utah,UT,Public,46896,
Georgian Court University,NJ,"Private, nonprofit",46894,
University of Central Oklahoma,OK,Public,46882,
Eastern Connecticut State University,CT,Public,46851,
University of Iowa,IA,Public,46819,
Southern Illinois University Edwardsville,IL,Public,46814,
Columbia College,MO,"Private, nonprofit",46794,
Kent State University at Stark,OH,Public,46781,
Kent State University at Kent,OH,Public,46781,
Murray State University,KY,Public,46739,
University of Illinois Urbana-Champaign,IL,Public,46718,
The University of Tampa,FL,"Private, nonprofit",46596,
Georgia State University,GA,Public,46554,
South Dakota State University,SD,Public,46502,
Liberty University,VA,"Private, nonprofit",46496,
Indiana University-Kokomo,IN,Public,46444,
Keene State College,NH,Public,46428,
The University of Montana,MT,Public,46408,
University of Arkansas at Little Rock,AR,Public,46392,
University of New Orleans,LA,Public,46315,
University of Wisconsin-Stevens Point,WI,Public,46309,
Auburn University,AL,Public,46133,
Commonwealth University of Pennsylvania,,Public,46133,
University of Kentucky,KY,Public,46111,
Rhode Island College,RI,Public,46105,
Ohio University-Eastern Campus,OH,Public,46101,
Ohio University-Chillicothe Campus,OH,Public,46101,
Ohio University-Southern Campus,OH,Public,46101,
Ohio University-Lancaster Campus,OH,Public,46101,
Ohio University-Main Campus,OH,Public,46101,
Ohio University-Zanesville Campus,OH,Public,46101,
Wichita State University,KS,Public,46090,
Northern Illinois University,IL,Public,46086,
University of North Carolina Wilmington,NC,Public,46072,
Western Washington University,WA,Public,46000,
Central Washington University,WA,Public,45990,
University of Louisville,KY,Public,45825,
California State University-Northridge,CA,Public,45821,
Georgia Southern University,GA,Public,45796,
Northern Arizona University,AZ,Public,45795,
Luther College,IA,"Private, nonprofit",45737,
SUNY at Purchase College,NY,Public,45661,
University of Illinois Springfield,IL,Public,45641,
University of South Carolina-Columbia,SC,Public,45595,
York College of Pennsylvania,PA,"Private, nonprofit",45569,
University of Dallas,TX,"Private, nonprofit",45559,
Presbyterian College,SC,"Private, nonprofit",45470,
West Virginia University,WV,Public,45388,
Empire State University,NY,Public,45252,
SUNY College at Potsdam,NY,Public,45234,
Southeastern Louisiana University,LA,Public,45161,
Louisiana Tech University,LA,Public,45142,
University of Arkansas-Fort Smith,AR,Public,45097,
University of South Dakota,SD,Public,45096,
Augustana College,IL,"Private, nonprofit",45048,
University of Wisconsin-Green Bay,WI,Public,44899,
University of South Alabama,AL,Public,44887,
Indiana University-Indianapolis,IN,Public,44850,
Stetson University,FL,"Private, nonprofit",44796,
Georgia College & State University,GA,Public,44795,
SUNY Brockport,NY,Public,44658,
California State University-San Bernardino,CA,Public,44655,
University of Southern Mississippi,MS,Public,44586,
University of Montevallo,AL,Public,44563,
Ashland University,OH,"Private, nonprofit",44543,
CUNY Brooklyn College,NY,Public,44416,
Wright State University-Main Campus,OH,Public,44397,
La Salle University,PA,"Private, nonprofit",44285,
University of California-Merced,CA,Public,44144,
East Tennessee State University,TN,Public,44142,
East Carolina University,NC,Public,44113,
Lee University,TN,"Private, nonprofit",44096,
University of Nebraska at Omaha,NE,Public,44068,
Kennesaw State University,,Public,43954,
University of Colorado Colorado Springs,CO,Public,43949,
University of Minnesota-Duluth,MN,Public,43766,
Wittenberg University,OH,"Private, nonprofit",43712,
Pacific Lutheran University,WA,"Private, nonprofit",43685,
University of Michigan-Flint,MI,Public,43537,
Truman State University,MO,Public,43405,
Southern Oregon University,OR,Public,43195,
Radford University,VA,Public,43188,
Indiana University of Pennsylvania,PA,Public,43164,
Cleveland State University,OH,Public,42859,
Idaho State University,ID,Public,42814,
University of Wisconsin-Eau Claire,WI,Public,42806,
Saginaw Valley State University,MI,Public,42803,
Muskingum University,OH,"Private, nonprofit",42785,
University of Southern Maine,ME,Public,42778,
Western Carolina University,NC,Public,42698,
St Olaf College,MN,"Private, nonprofit",42538,
Saint Vincent College,PA,"Private, nonprofit",42494,
University of North Georgia,,Public,42437,
University of Wisconsin-Parkside,WI,Public,42349,
Drake University,IA,"Private, nonprofit",42256,
University of North Carolina at Greensboro,NC,Public,42251,
California State University-Channel Islands,CA,Public,42229,
University of West Florida,FL,Public,42219,
Clayton  State University,GA,Public,42146,
California State Polytechnic University-Humboldt,CA,Public,42119,
Drury University,MO,"Private, nonprofit",41996,
Drury University-College of Continuing Professional Studies,,"Private, nonprofit",41996,
Lander University,SC,Public,41783,
University of North Alabama,AL,Public,41728,
Texas A&M University-Texarkana,TX,Public,41460,
University of Missouri-St Louis,MO,Public,41378,
Winthrop University,SC,Public,41343,
Marshall University,WV,Public,41214,
Roanoke College,VA,"Private, nonprofit",41210,
Arkansas Tech University,AR,Public,41065,
University of Central Arkansas,AR,Public,41043,
Texas A&M University-Victoria,TX,Public,40936,
Central Michigan University,MI,Public,40918,
Missouri Western State University,MO,Public,40716,
Eastern Illinois University,IL,Public,40597,
Appalachian State University,NC,Public,40371,
Austin Peay State University,TN,Public,40317,
Oklahoma State University-Main Campus,OK,Public,40169,
Baldwin Wallace University,OH,"Private, nonprofit",39968,
Eastern Michigan University,MI,Public,39709,
University of Nevada-Las Vegas,NV,Public,39477,
Albright College,PA,"Private, nonprofit",39097,
University of Louisiana at Monroe,LA,Public,38974,
St. Joseph's University-New York,NY,"Private, nonprofit",38952,
Western Kentucky University,KY,Public,38836,
Ripon College,WI,"Private, nonprofit",38623,
University of North Carolina Asheville,NC,Public,38565,
Missouri State University-Springfield,MO,Public,38485,
Chaminade University of Honolulu,HI,"Private, nonprofit",38412,
University of Toledo,OH,Public,37964,
Franciscan University of Steubenville,OH,"Private, nonprofit",37605,
Pennsylvania Western University,,Public,37579,
University of Alaska Anchorage,AK,Public,36650,
Mississippi State University,MS,Public,36614,
Southern Utah University,UT,Public,36457,
Northern Michigan University,MI,Public,34318,
University of Puerto Rico-Rio Piedras,PR,Public,31943,
Flagler College,FL,"Private, nonprofit",30134,
Fairmont State University,WV,Public,28802,
