Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Montana State University,MT,Public,53623,
Christopher Newport University,VA,Public,53600,
Arizona State University Campus Immersion,AZ,Public,53586,
Arizona State University Digital Immersion,,Public,53586,
St. John Fisher University,NY,"Private, nonprofit",53568,
University of Massachusetts-Dartmouth,MA,Public,53561,
Trinity Washington University,DC,"Private, nonprofit",53543,
University of Rochester,NY,"Private, nonprofit",53520,
Regis University,CO,"Private, nonprofit",53502,
Linfield University,OR,"Private, nonprofit",53493,
Fontbonne University,MO,"Private, nonprofit",53487,
Nevada State University,NV,Public,53468,
Lakeland University,WI,"Private, nonprofit",53448,
Central Michigan University,MI,Public,53422,
Bellarmine University,KY,"Private, nonprofit",53413,
University of Mary Washington,VA,Public,53388,
Endicott College,MA,"Private, nonprofit",53380,
Saint Edward's University,TX,"Private, nonprofit",53373,
Mercy University,NY,"Private, nonprofit",53346,
Florida Southern College,FL,"Private, nonprofit",53344,
Molloy University,NY,"Private, nonprofit",53334,
Gustavus Adolphus College,MN,"Private, nonprofit",53277,
University of Wisconsin-River Falls,WI,Public,53242,
California State University-Sacramento,CA,Public,53237,
Central Connecticut State University,CT,Public,53227,
Western Washington University,WA,Public,53224,
Eckerd College,FL,"Private, nonprofit",53220,
American International College,MA,"Private, nonprofit",53219,
CUNY York College,NY,Public,53156,
University of California-Merced,CA,Public,53143,
Ithaca College,NY,"Private, nonprofit",53057,
Texas Tech University,TX,Public,53051,
Lamar University,TX,Public,53038,
Emporia State University,KS,Public,53022,
Houston Christian University,TX,"Private, nonprofit",53021,
SUNY Old Westbury,NY,Public,53013,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,52990,
Hope College,MI,"Private, nonprofit",52980,
Menlo College,CA,"Private, nonprofit",52942,
University of Houston,TX,Public,52892,
Minnesota State University-Mankato,MN,Public,52859,
The Catholic University of America,DC,"Private, nonprofit",52846,
Nichols College,MA,"Private, nonprofit",52824,
Augustana College,IL,"Private, nonprofit",52818,
University of Vermont,VT,Public,52805,
Charter Oak State College,CT,Public,52803,
Spelman College,GA,"Private, nonprofit",52775,
Rhode Island College,RI,Public,52758,
California State University-Dominguez Hills,CA,Public,52742,
CUNY Brooklyn College,NY,Public,52742,
University of Illinois Chicago,IL,Public,52736,
University of Wyoming,WY,Public,52732,
Concordia University,,"Private, nonprofit",52729,
Florida Gulf Coast University,FL,Public,52722,
Fresno Pacific University,CA,"Private, nonprofit",52695,
Texas Woman's University,TX,Public,52686,
California State University-Chico,CA,Public,52621,
University of the Pacific,CA,"Private, nonprofit",52612,
Viterbo University,WI,"Private, nonprofit",52596,
Saint Michael's College,VT,"Private, nonprofit",52589,
SUNY Buffalo State University,NY,Public,52490,
Concordia University-Saint Paul,MN,"Private, nonprofit",52447,
University of Utah,UT,Public,52440,
Wayne State University,MI,Public,52435,
Western Oregon University,OR,Public,52407,
University of Wisconsin-Stout,WI,Public,52366,
Westminster College,PA,"Private, nonprofit",52339,
University of Wisconsin-Milwaukee,WI,Public,52328,
University at Buffalo,NY,Public,52303,
Randolph College,VA,"Private, nonprofit",52293,
University of Wisconsin-Whitewater,WI,Public,52284,
Alma College,MI,"Private, nonprofit",52280,
Elmhurst University,IL,"Private, nonprofit",52264,
Cazenovia College,NY,"Private, nonprofit",52243,
University of Massachusetts-Boston,MA,Public,52200,
Belmont University,TN,"Private, nonprofit",52172,
Marymount California University,CA,"Private, nonprofit",52117,
North Central College,IL,"Private, nonprofit",52062,
Roosevelt University,IL,"Private, nonprofit",52049,
Wofford College,SC,"Private, nonprofit",52046,
Alvernia University,PA,"Private, nonprofit",52044,
University of Arizona,AZ,Public,52038,
Saint Cloud State University,MN,Public,52031,
Lewis University,IL,"Private, nonprofit",52029,
State University of New York at Oswego,NY,Public,52023,
Walsh University,OH,"Private, nonprofit",51967,
Illinois State University,IL,Public,51941,
Bridgewater State University,MA,Public,51939,
Old Dominion University,VA,Public,51907,
Keene State College,NH,Public,51904,
Fort Hays State University,KS,Public,51898,
University of Minnesota-Duluth,MN,Public,51891,
Rowan University,NJ,Public,51878,
University of Alaska Anchorage,AK,Public,51858,
Notre Dame College,OH,"Private, nonprofit",51799,
Eastern Connecticut State University,CT,Public,51748,
Holy Cross College,IN,"Private, nonprofit",51745,
Mercer University,GA,"Private, nonprofit",51723,
University of Wisconsin-Oshkosh,WI,Public,51721,
Ramapo College of New Jersey,NJ,Public,51710,
Abilene Christian University,TX,"Private, nonprofit",51705,
Abilene Christian University-Undergraduate Online,,"Private, nonprofit",51705,
Antioch University-Los Angeles,CA,"Private, nonprofit",51702,
Antioch University-Santa Barbara,CA,"Private, nonprofit",51702,
Antioch University,OH,"Private, nonprofit",51702,
