Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of New Hampshire-Main Campus,NH,Public,64762,
University of New Hampshire at Manchester,NH,Public,64762,
The College of Wooster,OH,"Private, nonprofit",64760,
University of Maryland-Baltimore County,MD,Public,64756,
University of Missouri-Columbia,MO,Public,64747,
California Baptist University,CA,"Private, nonprofit",64605,
Rowan University,NJ,Public,64525,
Monmouth University,NJ,"Private, nonprofit",64438,
Central Washington University,WA,Public,64361,
University of Redlands,CA,"Private, nonprofit",64353,
Hampton University,VA,"Private, nonprofit",64293,
University at Albany,NY,Public,64270,
Le Moyne College,NY,"Private, nonprofit",64258,
CUNY Bernard M Baruch College,NY,Public,64231,
University of Central Florida,FL,Public,64056,
Oklahoma State University-Main Campus,OK,Public,63977,
University of Central Missouri,MO,Public,63965,
University of Connecticut,CT,Public,63902,
University of Connecticut-Waterbury Campus,CT,Public,63902,
University of Connecticut-Avery Point,CT,Public,63902,
University of Connecticut-Stamford,CT,Public,63902,
University of Connecticut-Hartford Campus,,Public,63902,
Ramapo College of New Jersey,NJ,Public,63853,
Seton Hall University,NJ,"Private, nonprofit",63814,
Kansas State University,KS,Public,63811,
Simpson College,IA,"Private, nonprofit",63790,
Saint Johns University,MN,"Private, nonprofit",63770,
Rutgers University-Camden,NJ,Public,63765,
Rutgers University-New Brunswick,NJ,Public,63765,
Rutgers University-Newark,NJ,Public,63765,
Amherst College,MA,"Private, nonprofit",63754,
Hofstra University,NY,"Private, nonprofit",63728,
The University of Tennessee-Chattanooga,TN,Public,63654,
University of Massachusetts-Lowell,MA,Public,63584,
University of Colorado Colorado Springs,CO,Public,63538,
Saint Edward's University,TX,"Private, nonprofit",63504,
University of Nebraska-Lincoln,NE,Public,63466,
Indiana University of Pennsylvania,PA,Public,63458,
Seattle University,WA,"Private, nonprofit",63443,
Loyola University Chicago,IL,"Private, nonprofit",63437,
Willamette University,OR,"Private, nonprofit",63407,
Roger Williams University,RI,"Private, nonprofit",63405,
Oregon State University,OR,Public,63354,
Oregon State University-Cascades Campus,OR,Public,63354,
Xavier University,OH,"Private, nonprofit",63347,
University of California-Irvine,CA,Public,63318,
University of Vermont,VT,Public,63279,
Washington & Jefferson College,PA,"Private, nonprofit",63258,
CUNY Brooklyn College,NY,Public,63184,
Auburn University,AL,Public,63178,
University of Massachusetts-Boston,MA,Public,63131,
University of La Verne,CA,"Private, nonprofit",63107,
Siena University,NY,"Private, nonprofit",63075,
Elizabethtown College,PA,"Private, nonprofit",63073,
Seattle Pacific University,WA,"Private, nonprofit",62972,
Hope College,MI,"Private, nonprofit",62936,
University of Massachusetts-Dartmouth,MA,Public,62918,
North Carolina State University at Raleigh,NC,Public,62824,
University of California-Merced,CA,Public,62815,
Saint Mary's College of California,CA,"Private, nonprofit",62651,
Agnes Scott College,GA,"Private, nonprofit",62605,
Missouri Southern State University,MO,Public,62576,
University of Oregon,OR,Public,62408,
Canisius University,NY,"Private, nonprofit",62398,
Southern New Hampshire University,NH,"Private, nonprofit",62387,
Dallas Baptist University,TX,"Private, nonprofit",62372,
University of San Diego,CA,"Private, nonprofit",62301,
California State University-Fresno,CA,Public,62298,
Haverford College,PA,"Private, nonprofit",62242,
Gustavus Adolphus College,MN,"Private, nonprofit",62218,
University of Miami,FL,"Private, nonprofit",62216,
Virginia Commonwealth University,VA,Public,62182,
CUNY John Jay College of Criminal Justice,NY,Public,62150,
Mount Holyoke College,MA,"Private, nonprofit",62045,
CUNY Hunter College,NY,Public,62040,
Kennesaw State University,,Public,61971,
Southwestern University,TX,"Private, nonprofit",61935,
University of St Thomas,MN,"Private, nonprofit",61922,
San Francisco State University,CA,Public,61915,
University of Kansas,KS,Public,61839,
Lake Forest College,IL,"Private, nonprofit",61770,
California State Polytechnic University-Pomona,CA,Public,61712,
The University of Alabama,AL,Public,61617,
Hartwick College,NY,"Private, nonprofit",61608,
Baylor University,TX,"Private, nonprofit",61578,
University of Houston,TX,Public,61533,
Eastern Illinois University,IL,Public,61519,
University of Dallas,TX,"Private, nonprofit",61484,
Wayne State University,MI,Public,61466,
Utah Valley University,UT,Public,61464,
University of South Dakota,SD,Public,61362,
California State University-Chico,CA,Public,61293,
McGill University,,Foreign,61139,
Georgia College & State University,GA,Public,61009,
Montclair State University,NJ,Public,60984,
University of Mary Washington,VA,Public,60881,
University of Massachusetts-Amherst,MA,Public,60726,
Central Connecticut State University,CT,Public,60678,
Metropolitan State University of Denver,CO,Public,60639,
Truman State University,MO,Public,60586,
University of Rhode Island,RI,Public,60559,
Northeastern Illinois University,IL,Public,60545,
College of Staten Island CUNY,NY,Public,60500,
University of Arkansas,AR,Public,60441,
East Carolina University,NC,Public,60419,
Towson University,MD,Public,60313,
State University of New York at Cortland,NY,Public,60296,
California State University-Sacramento,CA,Public,60278,
California Lutheran University,CA,"Private, nonprofit",60243,
Allegheny College,PA,"Private, nonprofit",60241,
Salisbury University,MD,Public,60089,
The University of Tennessee-Knoxville,TN,Public,60073,
Westfield State University,MA,Public,60025,
University of Illinois Chicago,IL,Public,60020,
University of Missouri-St Louis,MO,Public,60016,
Mercer University,GA,"Private, nonprofit",59997,
Minnesota State University-Mankato,MN,Public,59997,
University of North Georgia,,Public,59993,
Old Dominion University,VA,Public,59939,
Loyola University New Orleans,LA,"Private, nonprofit",59909,
Temple University,PA,Public,59848,
Dickinson College,PA,"Private, nonprofit",59834,
California State University-Long Beach,CA,Public,59787,
Illinois State University,IL,Public,59571,
California State University-Dominguez Hills,CA,Public,59558,
Tarleton State University,TX,Public,59542,
CUNY City College,NY,Public,59540,
Texas Tech University,TX,Public,59466,
University of Houston-Downtown,TX,Public,59261,
Portland State University,OR,Public,59185,
Iona University,NY,"Private, nonprofit",59151,
St. John's University-New York,NY,"Private, nonprofit",59122,
Indiana State University,IN,Public,59060,
CUNY Lehman College,NY,Public,59020,
College of Charleston,SC,Public,58955,
Ball State University,IN,Public,58953,
Georgia Southern University,GA,Public,58949,
Bridgewater State University,MA,Public,58936,
Ohio University-Eastern Campus,OH,Public,58907,
Ohio University-Chillicothe Campus,OH,Public,58907,
Ohio University-Southern Campus,OH,Public,58907,
Ohio University-Lancaster Campus,OH,Public,58907,
Ohio University-Main Campus,OH,Public,58907,
Ohio University-Zanesville Campus,OH,Public,58907,
University of Cincinnati-Main Campus,OH,Public,58863,
University of Nevada-Las Vegas,NV,Public,58855,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,58854,
The University of Tampa,FL,"Private, nonprofit",58754,
University of North Florida,FL,Public,58718,
University of Michigan-Dearborn,MI,Public,58641,
Augusta University,,Public,58583,
Northern Arizona University,AZ,Public,58571,
Macalester College,MN,"Private, nonprofit",58555,
Assumption University,MA,"Private, nonprofit",58537,
Aurora University,IL,"Private, nonprofit",58503,
Salem State University,MA,Public,58499,
Georgia State University,GA,Public,58432,
Swarthmore College,PA,"Private, nonprofit",58372,
Emmanuel College,MA,"Private, nonprofit",58364,
Kutztown University of Pennsylvania,PA,Public,58347,
California State University-Channel Islands,CA,Public,58306,
University of Maine,ME,Public,58303,
University at Buffalo,NY,Public,58292,
University of North Carolina Wilmington,NC,Public,58258,
University of Minnesota-Duluth,MN,Public,58256,
